contract_address,evt_tx_hash,evt_index,evt_block_time,evt_block_number,collateralAsset,debtAsset,debtToCover,liquidatedCollateralAmount,liquidator,receiveAToken,user
0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xf66f1277c3bb078809676cc0b7e48dbd70cd578b33b9266be1b0895564002234,18,2023-02-09 19:33:47.000 UTC,1.6593309e+07,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,75876887134,50787934323477327821,0xd050e0a4838d74769228b49dff97241b4ef3805d,false,0xbec69dfce4c1fa8b7843fee1ca85788d84a86b06
0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x9d10dd3ddfdf168eef2340ed2ee03b6fc1f473be4ad8c8c8ff8b717fd5d7e48e,21,2023-05-25 01:27:23.000 UTC,1.7332891e+07,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,11773826517,6961249127211782452,0x80d4230c0a68fc59cb264329d3a717fcaa472a13,false,0x7ed571262cdae3367af4fa621ab0f480d7242409
0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xd62240c9bdadd353a3e0afe152018d0f3dd40b8bea264843c7c2bdffd2b42d45,105,2023-05-25 01:27:35.000 UTC,1.7332892e+07,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x6b175474e89094c44da98b954eedeac495271d0f,1437532717407287775272,849878976228668071,0x1a2d11cb90d1de13bb81ee7b772a08ac234a8058,false,0xae5ee34994dce7bace81fab0f163895505f92225
0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xcade071b8a285f7058e542d320de63a7fede46c2c9b939d21a7988e01ef286d3,435,2023-06-14 20:05:47.000 UTC,1.7480438e+07,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x6b175474e89094c44da98b954eedeac495271d0f,3436168262422310889652,2106367586443609633,0x80d4230c0a68fc59cb264329d3a717fcaa472a13,false,0xde092a220313cede58750434b66d46b5ff494cbb
0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x34bb44abe99b68e04880f9040accc7a726bb13504dcd82b028701f6048dd5a34,157,2023-06-14 20:06:11.000 UTC,1.748044e+07,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x6b175474e89094c44da98b954eedeac495271d0f,2113709400787951645467,1303604596421313515,0x50a77ba863dbaa84269133e5625ef80072f1884a,false,0x8f101fc8479fd1d7c230d37b7a23fee09084aebd
0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x0d3b82db725bc791f6594e665fbe9803e94f49b49c67ec7da40f351fd76e9ca3,48,2023-06-14 20:06:23.000 UTC,1.7480441e+07,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,7796643819,4809563968618992785,0x80d4230c0a68fc59cb264329d3a717fcaa472a13,false,0x7420fa58ba44e1141d5e9adb6903be549f7ce0b5
0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x78d5d1f131ec135b78936c155f9079de08da9e0bfbf92d2e2f9aa5494d311e77,98,2023-06-14 20:07:11.000 UTC,1.7480445e+07,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x6b175474e89094c44da98b954eedeac495271d0f,7136269530972618023958,4448208443513725044,0x50a77ba863dbaa84269133e5625ef80072f1884a,false,0xae1704ea3747e4861fb7283a9eaa8c70b925295c
0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xdfeaf613d2963adcc1b30495dd75b204d26d4fa8750081423879a1b78f53f781,20,2023-07-17 18:34:11.000 UTC,1.7714791e+07,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,3399444799,1883241410302118286,0xb206ebe579be55f5b57119bb2e7cc63708eda1aa,false,0x4ebde1e8ad8e205d4de268ba758e5725eafbc6fd
0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xc5bdaf26f1ad45f6e375322fa558f3ccf93af31a5d7287ea5876975fdfb1415f,85,2023-06-05 19:07:11.000 UTC,1.7416282e+07,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,589849082506333214,4420835,0x6dce52e318338b0cc30969ada8e0c95d24c37a28,false,0x3070f20f86fda706ac380f5060d256028a46ec29
0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x9fcecc220aa54043649dd56f19241bbe9d002a3c5fed02a6f52c9423219af8cf,22,2023-04-05 00:57:23.000 UTC,1.6979196e+07,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,14324776126962680482,28442869677,0x777777751f9115c5491375c28080e8c8aab99554,false,0xc72fe1eba65fc9a14f7236c35b5998fa98452ce0
